Org Code,Sub-portals,Research Themes,Departments/Colleges/Labs/Centers,Parent Organization
PNT,performing_arts,Performing Arts,PAINT,School of Theatre Arts
PRP,performing_arts,Performing Arts,PROPS,School of Theatre Arts
SCN,performing_arts,Performing Arts,SCENE,School of Theatre Arts
SND,performing_arts,Performing Arts,SOUND,School of Theatre Arts
STD,performing_arts,Performing Arts,TAR STUDIES,School of Theatre Arts
ADM1,arts_design,Arts & Design,ADMINISTRATION,School of Media Arts
ARCH,architecture,Architecture,Col Arch Plan & Landscape Arch,Academic Affairs Provost
FNRT,arts_design,Arts & Design,College of Fine Arts,VP Arizona Arts
UAPS,performing_arts,Performing Arts,UA Presents Division,VP Arizona Arts
2201,fine_arts,Fine Arts,Museum of Art,UA Presents Division
2538,fine_arts,Fine Arts,Ctr for Creative Photography,UA Presents Division
7301,performing_arts,Performing Arts,UA Presents,UA Presents Division
CFA,arts_design,Arts & Design,COLLEGE OF FINE ARTS,Fine Arts Administration
UART,arts_design,Arts & Design,VP Arizona Arts,Sr VP Acad Affairs and Provost
3001,business_econ,Business & Economics,Eller Administration,Eller College of Management
BUSN,management,Management,Eller College of Management,Academic Affairs Provost
3009,economics,Economics,Economics,Eller College of Management
0118,business_econ,Business & Economics,Agric & Resource Econ-Ins,College of Agric and Life Sci
2418,business_econ,Business & Economics,Agricultural Resource Econ-Res,College of Agric and Life Sci
3002,business_econ,Business & Economics,School of Public Admin and Policy,Eller College of Management
3003,business_econ,Business & Economics,Finance,Eller College of Management
3004,management,Management,Management and Organizations,Eller College of Management
3005,economics,Economics,Economic Business Research Ctr,Eller College of Management
3006,business_econ,Business & Economics,Marketing,Eller College of Management
3007,business_econ,Business & Economics,School of Accountancy,Eller College of Management
3010,management,Management,Management Information Systems,Eller College of Management
3012,management,Management,Karl Eller Grad School of Mgmt,Eller College of Management
3013,economics,Economics,Economic Science Laboratory,Eller College of Management
3014,management,Management,Ctr for Mgmt of Information,Eller College of Management
3016,business_econ,Business & Economics,Eller Undergraduate Programs,Eller College of Management
ELLR,business_econ,Business & Economics,DEAN / ELLER COLLEGE OF MANAGEMENT,Academic Affairs Provost
1518,business_econ,Business & Economics,Agricultural Resource Econ-Ext,CALS Cooperative Ext
ELMG,business_econ,Business & Economics,McGuire Center,Eller Administration
3017,business_econ,Business & Economics,McGuire Ctr - Entrepreneurship,Eller Administration
9016,business_econ,Business & Economics,Tech Launch Arizona,Tech Launch Arizona
9009,business_econ,Business & Economics,Tech Transfer Arizona,Tech Launch Arizona
9915,business_econ,Business & Economics,Tech Parks Arizona,Tech Parks Division
MIS1,management,Management,MIS dept head,Management Information Systems
MIS2,management,Management,MIS AI Lab,Management Information Systems
3204,education,Education,Disability Psychoeduc Studies,College of Education
3221,education,Education,Educatnl Policy Studies Pract,College of Education
3211,education,Education,Educational Psychology,College of Education
3222,education,Education,Teachg Learning Sociocult Stds,College of Education
3205,education,Education,Higher Education,College of Education
3216,education,Education,Education Administration,College of Education
1404,education,Education,PHYSICAL EDUCATION PROGRAM,College of Education
3208,education,Education,Teaching Teacher Education,College of Education
3212,education,Education,Language Reading and Culture,College of Education
3201,education,Education,Education - Dean's Office,College of Education
EDUC,education,Education,College of Education,Academic Affairs Provost
8403,education,Education,SALT Ctr Learning Disabilities,Stud Success Retention Innov
3218,education,Education,EDUCATION-AMERICAL READS,Education Administration
3219,education,Education,FIRST THINGS FIRST EXTERNAL EVALUATION,Education - Dean's Office
9947,education,Education,Distance Education,Academic Inits & Stdnt Success
8303,education,Education,Thrive Center,Stud Success Retention Innov
8307,education,Education,Stdnt Engagement & Career Dev,Enrollment Services
8908,education,Education,Student Learning Services,Stud Success Retention Innov
9320,education,Education,Office of Instruct & Assess,Vice Provost Acad Affrs Div
9932,education,Education,Academic Inits & Stdnt Success,Academic Inits & Stdnt Success
9935,education,Education,International Education,Ofc of Global Initiatives Div
2594,education,Education,STEM Learning Center,RDI Centers & Institutes
0429,english,English,English,College of Social & Behav Sci
0460,lang_culture,World Languages & Cultures,Ctr Interpretation Test & Rsch,College of Humanities
0467,lang_culture,World Languages & Cultures,Sch of Intl Lang Lit & Culture,College of Humanities
0472,humanities,Humanities,Public & Applied Humanities,College of Humanities
0473,humanities,Humanities,Center for Buddhist Studies,College of Humanities
0474,humanities,Humanities,Center for Digital Humanities,College of Humanities
9303,humanities,Humanities,Ctr for Educ Rsch in Culture,College of Humanities
0439,lang_culture,World Languages & Cultures,East Asian Studies,College of Humanities
0435,lang_culture,World Languages & Cultures,Africana Studies,College of Humanities
2506,english,English,English as a Second Language,College of Humanities
0468,lang_culture,World Languages & Cultures,Humanities Language Services,College of Humanities
0440,lang_culture,World Languages & Cultures,French and Italian,College of Humanities
0424,lang_culture,World Languages & Cultures,German Studies,College of Humanities
0428,humanities,Humanities,Philosophy,College of Social & Behav Sci
0470,humanities,Humanities,RELIGIOUS STUDIES PROGRAM,Sch of Intl Lang Lit & Culture
0405,humanities,Humanities,Religious Studies and Classics,College of Humanities
0409,lang_culture,World Languages & Cultures,Russian and Slavic Studies,College of Humanities
0456,humanities,Humanities,Second Language Acquisition Teaching,College of Humanities
0441,lang_culture,World Languages & Cultures,Spanish and Portuguese,College of Humanities
0427,humanities,Humanities,Humanities Administration,College of Humanities
0452,english,English,Writing Skills Improvement,College of Humanities
2505,humanities,Humanities,GUADALAJARA SUMMER SCHOOL,College of Humanities
HMNT,humanities,Humanities,College of Humanities,Colleges of Letters Arts & Sci
0453,humanities,Humanities,Humanities Program,Academic Affairs Division
0450,lang_culture,World Languages & Cultures,CRITICAL LANGUAGES PROGRAM,Humanities Administration
POET,humanities,Humanities,Poetry Center,Humanities Administration
LAWC,law,Law,James E Rogers College of Law,Academic Affairs Provost
3601,law,Law,Law Administration,James E Rogers College of Law
3602,law,Law,Law Library,James E Rogers College of Law
3603,law,Law,Law Instruction,James E Rogers College of Law
9801,law,Law,Office of the General Counsel,General Counsel Division
99GC,law,Law,COM Phx General Counsel,Phx Biomed Campus Instl Supp
OGCD,law,Law,General Counsel Division,Legal Affairs
SOGC,law,Law,SVP Legal Affrs & Gen Counsel,Main Campus
VOGC,law,Law,Legal Affairs,SVP Legal Affrs & Gen Counsel
3301,nursing,Nursing,College of Nursing,College of Nursing
3302,med_health,Medicine & Health,CON Accelerated Partnership Pg,College of Nursing
0655,clinical,Clinical Areas,COM PHX Emergency Med Rsch Ctr,College of Medicine - Phoenix
0660,med_health,Medicine & Health,COM Phx Basic Medical Sci,College of Medicine - Phoenix
0662,med_health,Medicine & Health,COM Phx NanoBioscience & Med,College of Medicine - Phoenix
0664,clinical,Clinical Areas,COM Phx Anesthesiology,College of Medicine - Phoenix
0665,med_health,Medicine & Health,COM Phx Biomedical Informatics,College of Medicine - Phoenix
0666,ped_reprod,Pediatrics & Reproductive Fields,COM Phx Child Health,College of Medicine - Phoenix
0667,clinical,Clinical Areas,COM Phx Emergency Medicine,College of Medicine - Phoenix
0668,med_health,Medicine & Health,COM Phx Family Commun&Prev Med,College of Medicine - Phoenix
0669,clinical,Clinical Areas,COM Phx Internal Medicine,College of Medicine - Phoenix
0670,neurology,Neurology,COM Phx Neurology,College of Medicine - Phoenix
0671,ped_reprod,Pediatrics & Reproductive Fields,COM Phx Obstetrics&Gynecology,College of Medicine - Phoenix
0672,med_health,Medicine & Health,COM Phx Ophthalmology,College of Medicine - Phoenix
0673,clinical,Clinical Areas,COM Phx Orthopedics,College of Medicine - Phoenix
0674,clinical,Clinical Areas,COM Phx Psychiatry,College of Medicine - Phoenix
0675,med_health,Medicine & Health,COM Phx Physical Med & Rehab,College of Medicine - Phoenix
0676,clinical,Clinical Areas,COM Phx Radiology,College of Medicine - Phoenix
0677,clinical,Clinical Areas,COM Phx Surgery,College of Medicine - Phoenix
0678,neurology,Neurology,COM Phx Neurosurgery,College of Medicine - Phoenix
0679,clinical,Clinical Areas,COM Phx Urology,College of Medicine - Phoenix
0680,clinical,Clinical Areas,COM Phx Pathology,College of Medicine - Phoenix
0681,clinical,Clinical Areas,COM Phx Dermatology,College of Medicine - Phoenix
0682,med_health,Medicine & Health,COM Phx Molecular Medicine,College of Medicine - Phoenix
0683,oncology,Oncology,COM Phx Radiation Oncology,College of Medicine - Phoenix
0684,med_health,Medicine & Health,COM Phx Bioethics Med Humanism,College of Medicine - Phoenix
0686,pharmacology,Pharmacology,COM Phx Ctr Tox&Pharm Ed&Res,College of Medicine - Phoenix
0687,neurology,Neurology,COM Phx Translational Neurosci,College of Medicine - Phoenix
0688,oncology,Oncology,COM-Phx Interdisc Oncology,College of Medicine - Phoenix
0659,med_health,Medicine & Health,COM Phx Campus Administration,College of Medicine - Phoenix
1902,pharmacology,Pharmacology,Pharmaceutical Sciences,College of Pharmacy
1903,pharmacology,Pharmacology,Pharmacology and Toxicology,College of Pharmacy
1904,pharmacology,Pharmacology,Center for Phytomedicine Rsch,College of Pharmacy
1905,pharmacology,Pharmacology,Pharmacy Practice and Science,College of Pharmacy
1906,pharmacology,Pharmacology,HOPE Center,College of Pharmacy
1907,pharmacology,Pharmacology,Center for Toxicology,College of Pharmacy
1908,pharmacology,Pharmacology,Poison Control Center,College of Pharmacy
1901,pharmacology,Pharmacology,Pharmacy Administration,College of Pharmacy
0700,clinical,Clinical Areas,Otolaryngology,College of Medicine - Tucson
0702,clinical,Clinical Areas,Surgery,College of Medicine - Tucson
0703,ped_reprod,Pediatrics & Reproductive Fields,Obstetrics and Gynecology,College of Medicine - Tucson
0704,med_health,Medicine & Health,Family and Community Medicine,College of Medicine - Tucson
0705,physiology,Physiology,Physiology,College of Medicine - Tucson
0707,med_health,Medicine & Health,Immunobiology,College of Medicine - Tucson
0708,med_health,Medicine & Health,Chemistry & Biochemistry-Med,College of Medicine - Tucson
0709,ped_reprod,Pediatrics & Reproductive Fields,Pediatrics,College of Medicine - Tucson
0710,med_health,Medicine & Health,Cellular & Molecular Medicine,College of Medicine - Tucson
0711,med_health,Medicine & Health,Medical Imaging,College of Medicine - Tucson
0712,clinical,Clinical Areas,Arizona Center on Aging,College of Medicine - Tucson
0715,clinical,Clinical Areas,Anesthesiology,College of Medicine - Tucson
0713,med_health,Medicine & Health,Medicine,College of Medicine - Tucson
0716,clinical,Clinical Areas,Sarver Heart Center,College of Medicine - Tucson
0717,clinical,Clinical Areas,Psychiatry,College of Medicine - Tucson
0718,neurology,Neurology,Neurology,College of Medicine - Tucson
0719,pharmacology,Pharmacology,Pharmacology,College of Medicine - Tucson
0720,clinical,Clinical Areas,Pathology,College of Medicine - Tucson
0724,med_health,Medicine & Health,Ophthalmology & Vision Science,College of Medicine - Tucson
0729,med_health,Medicine & Health,Biomedical Communications,College of Medicine - Tucson
0741,oncology,Oncology,Radiation Oncology,College of Medicine - Tucson
0744,med_health,Medicine & Health,Clinical Teaching,College of Medicine - Tucson
0750,clinical,Clinical Areas,Dept of Emergency Medicine,College of Medicine - Tucson
0752,med_health,Medicine & Health,Medical Student Research Prog,College of Medicine - Tucson
0755,physiology,Physiology,Physiology-Research,College of Medicine - Tucson
0757,med_health,Medicine & Health,Immunobiology-Research,College of Medicine - Tucson
0758,med_health,Medicine & Health,Chemistry & Biochemistry-Rsch,College of Medicine - Tucson
0760,med_health,Medicine & Health,Cellular & Molecular Med-Rsch,College of Medicine - Tucson
0763,med_health,Medicine & Health,Medicine-Research,College of Medicine - Tucson
0768,neurology,Neurology,Neurology-Research,College of Medicine - Tucson
0769,pharmacology,Pharmacology,Pharmacology-Research,College of Medicine - Tucson
0771,clinical,Clinical Areas,Arthritis Center-Research,College of Medicine - Tucson
0772,ped_reprod,Pediatrics & Reproductive Fields,Children's Research Center,College of Medicine - Tucson
0775,clinical,Clinical Areas,AZ Emergency Medicine Rsch Ctr,College of Medicine - Tucson
0779,clinical,Clinical Areas,Liver Research Institute,College of Medicine - Tucson
0784,med_health,Medicine & Health,Arizona Telemedicine Program,College of Medicine - Tucson
0785,med_health,Medicine & Health,COM Clinical Rural Rotations,College of Medicine - Tucson
0786,clinical,Clinical Areas,Orthopaedic Surgery,College of Medicine - Tucson
0788,med_health,Medicine & Health,Andrew Weil Ctr Intgrtv Med,College of Medicine - Tucson
0790,med_health,Medicine & Health,COM General - Research,College of Medicine - Tucson
0792,med_health,Medicine & Health,AHS Continuing Medical Educ,College of Medicine - Tucson
0795,med_health,Medicine & Health,Valley Fever Ctr for Excellnc,College of Medicine - Tucson
0805,neurology,Neurology,Neurosurgery,College of Medicine - Tucson
0810,clinical,Clinical Areas,Urology,College of Medicine - Tucson
0850,med_health,Medicine & Health,Diabetes Research,College of Medicine - Tucson
0851,neurology,Neurology,Neuro Degeneration&Repair Rsch,College of Medicine - Tucson
0852,clinical,Clinical Areas,Cardiovascular Biology Rsch,College of Medicine - Tucson
0853,oncology,Oncology,Cancer Research,College of Medicine - Tucson
0854,med_health,Medicine & Health,Adv Rsch Inst Biomed Imaging,College of Medicine - Tucson
1401,physiology,Physiology,Physiology-Undergraduate Prog,College of Medicine - Tucson
6810,med_health,Medicine & Health,AHS General,College of Medicine - Tucson
0701,med_health,Medicine & Health,Medicine Administration,College of Medicine - Tucson
0796,med_health,Medicine & Health,AHS Provost Administration,College of Medicine - Tucson
0798,med_health,Medicine & Health,COM Administration-Research,College of Medicine - Tucson
4203,public_health,Public Health,Health Education-Undergraduate,College of Public Health
4204,public_health,Public Health,Epidemiology and Biostatistics,College of Public Health
4205,public_health,Public Health,Health Promotion Sciences,College of Public Health
4206,public_health,Public Health,Community Environment & Policy,College of Public Health
4207,public_health,Public Health,Canyon Ranch Ctr Health Promo,College of Public Health
4211,public_health,Public Health,Global Health Institute,College of Public Health
4212,public_health,Public Health,Public Hlth Pract & Trans Rsch,College of Public Health
4213,public_health,Public Health,ESRAC,College of Public Health
6816,public_health,Public Health,Ctr of Excellence Womens Hlth,College of Public Health
4201,public_health,Public Health,Public Health Administration,College of Public Health
60XX,med_health,Medicine & Health,BMS Department,COM Phx Basic Medical Sci
60YY,med_health,Medicine & Health,BMS Graduate Program,COM Phx Basic Medical Sci
84BE,med_health,Medicine & Health,COM Phx  Bioethics,COM Phx Bioethics Med Humanism
65BI,med_health,Medicine & Health,COM Phx BMI,COM Phx Biomedical Informatics
65CD,med_health,Medicine & Health,COM Phx Clinical Decision,COM Phx Biomedical Informatics
65CI,med_health,Medicine & Health,COM Phx Clinical Informatics,COM Phx Biomedical Informatics
60AG,med_health,Medicine & Health,BMS- A. Gallitano,COM Phx Basic Medical Sci
85MM,ped_reprod,Pediatrics & Reproductive Fields,COM-Phx IMM Lab,COM Phx Child Health
85PI,ped_reprod,Pediatrics & Reproductive Fields,COM-Phx Pediatric Infectious Disease,COM Phx Child Health
85RF,ped_reprod,Pediatrics & Reproductive Fields,COM Phx Neuro-Dev Disorders Lab R Frye,COM Phx Child Health
85NG,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NG Lab,COM Phx Child Health
85NT,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NT Lab,COM Phx Child Health
86CD,med_health,Medicine & Health,COM P Program for Clinical Decision Supt,COM Phx Ctr Tox&Pharm Ed&Res
86CT,pharmacology,Pharmacology,COM Phx CTPER,COM Phx Ctr Tox&Pharm Ed&Res
86MD,med_health,Medicine & Health,COM Phx Center for Med Decision Support,COM Phx Ctr Tox&Pharm Ed&Res
86PM,med_health,Medicine & Health,COM Phx Precision Medicine,COM Phx Ctr Tox&Pharm Ed&Res
55EM,clinical,Clinical Areas,COM Phx  Emerg Med,COM PHX Emergency Med Rsch Ctr
68FC,med_health,Medicine & Health,COM Phx  FCM,COM Phx Family Commun&Prev Med
69CR,clinical,Clinical Areas,COM Phx  Cardiology,COM Phx Internal Medicine
69CI,med_health,Medicine & Health,COMP  Clinical Informatics,COM Phx Internal Medicine
69CS,med_health,Medicine & Health,COM Phx Clin Data Analytics & Dec Spt,COM Phx Internal Medicine
69CT,med_health,Medicine & Health,COM Phx  Clinical Trials-Internal Med,COM Phx Internal Medicine
69EN,clinical,Clinical Areas,COM Phx Endocrinology,COM Phx Internal Medicine
69GI,clinical,Clinical Areas,COM Phx Gastroenterology,COM Phx Internal Medicine
69HT,med_health,Medicine & Health,COM Phx Hospitalist Internal Medicine,COM Phx Internal Medicine
69ID,clinical,Clinical Areas,COM Phx Infectious Disease,COM Phx Internal Medicine
69IG,clinical,Clinical Areas,COM Phx Internal Geriatric,COM Phx Internal Medicine
69PU,clinical,Clinical Areas,COM Phx Pulmonary,COM Phx Internal Medicine
69RE,clinical,Clinical Areas,COM Phx Rheumatology,COM Phx Internal Medicine
62NB,med_health,Medicine & Health,NanoBioscience Department,COM Phx NanoBioscience & Med
78BA,neurology,Neurology,Neurosurgery Banner,COM Phx Neurosurgery
78BN,neurology,Neurology,Neurosurgery BNI,COM Phx Neurosurgery
71OB,ped_reprod,Pediatrics & Reproductive Fields,COM Phx Obstetrics & Gynecology,COM Phx Obstetrics&Gynecology
60AS,med_health,Medicine & Health,BMS- A. Sertil,COM Phx Basic Medical Sci
60AT,med_health,Medicine & Health,BMS- A. Titelbaum,COM Phx Basic Medical Sci
60BH,med_health,Medicine & Health,BMS- B. Handa,COM Phx Basic Medical Sci
77ES,clinical,Clinical Areas,COM Phx Endocrinology Surgery,COM Phx Surgery
77OL,clinical,Clinical Areas,COM Phx Otolaryngology,COM Phx Surgery
77PL,clinical,Clinical Areas,COM Phx Plastics Surgery,COM Phx Surgery
60DF,med_health,Medicine & Health,BMS- D. Ferguson,COM Phx Basic Medical Sci
77TR,clinical,Clinical Areas,COM Phx Trauma Surgery,COM Phx Surgery
77TS,clinical,Clinical Areas,COM Phx Transplant Surgery,COM Phx Surgery
60EG,med_health,Medicine & Health,BMS-E. Garofalo,COM Phx Basic Medical Sci
87TN,neurology,Neurology,COM Phx Translational Neuroscience,COM Phx Translational Neurosci
88IO,oncology,Oncology,COM Phx Interdisciplinary Oncology,COM-Phx Interdisc Oncology
69CD,clinical,Clinical Areas,COM Phx  Cardiolgoy,COM Phx Internal Medicine
69IM,med_health,Medicine & Health,COM Phx  Internal Medicine,COM Phx Internal Medicine
69LT,med_health,Medicine & Health,COM Phx Liver Transplant Internal Med,COM Phx Internal Medicine
69PM,med_health,Medicine & Health,COM Phx PMI internal Medicine,COM Phx Internal Medicine
60EN,med_health,Medicine & Health,BMS- E. Nikulina,COM Phx Basic Medical Sci
60HG,med_health,Medicine & Health,BMS- H. Glowacka,COM Phx Basic Medical Sci
60JH,med_health,Medicine & Health,BMS- J. Hsieh,COM Phx Basic Medical Sci
60KG,med_health,Medicine & Health,BMS- K. Gustin,COM Phx Basic Medical Sci
60KH,med_health,Medicine & Health,BMS- K. Hastings,COM Phx Basic Medical Sci
60KW,med_health,Medicine & Health,BMS- K. Whitfield,COM Phx Basic Medical Sci
60MH,med_health,Medicine & Health,BMS- M. Herbst-Kralovetz,COM Phx Basic Medical Sci
60MO,med_health,Medicine & Health,BMS- M. O'Neil,COM Phx Basic Medical Sci
60PB,med_health,Medicine & Health,BMS- P. Boehmer,COM Phx Basic Medical Sci
60PS,med_health,Medicine & Health,BMS- P. Standley,COM Phx Basic Medical Sci
60RF,med_health,Medicine & Health,BMS- R. Fisher,COM Phx Basic Medical Sci
60RG,med_health,Medicine & Health,BMS- R. Gonzales,COM Phx Basic Medical Sci
60RH,med_health,Medicine & Health,BMS- R. Hammer,COM Phx Basic Medical Sci
60SK,med_health,Medicine & Health,BMS- S. Kim,COM Phx Basic Medical Sci
60SQ,med_health,Medicine & Health,BMS- S. Qiu,COM Phx Basic Medical Sci
60SS,med_health,Medicine & Health,BMS- S. Sharma,COM Phx Basic Medical Sci
60SZ,med_health,Medicine & Health,BMS- S. Zack,COM Phx Basic Medical Sci
60TA,med_health,Medicine & Health,BMS- T. Anderson,COM Phx Basic Medical Sci
60TH,med_health,Medicine & Health,BMS- T. Hale,COM Phx Basic Medical Sci
60WL,med_health,Medicine & Health,BMS- W. Lee,COM Phx Basic Medical Sci
62FZ,med_health,Medicine & Health,Nano- F. Zenhausern,COM Phx NanoBioscience & Med
62JG,med_health,Medicine & Health,Nano- Jian Gu,COM Phx NanoBioscience & Med
62JL,med_health,Medicine & Health,Nano- J. Lacombe,COM Phx NanoBioscience & Med
69GR,clinical,Clinical Areas,COM Phx  Cardiolgoy - Guy Reed,COM Phx  Cardiology
69MG,clinical,Clinical Areas,COM Phx  Cardiolgoy - Martha Gulati,COM Phx  Cardiology
69JH,med_health,Medicine & Health,COM P Internal Medicine- Jui-Cheng Hsieh,COM Phx  Internal Medicine
69MF,med_health,Medicine & Health,COM Phx Internal Medicine - Mike Fallon,COM Phx  Internal Medicine
85JL,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NT Lab - Jonathan Lifshitz,COM Phx NT Lab
85RR,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NT Lab - Rachel Rowe,COM Phx NT Lab
85TT,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NT Lab - Theresa Thomas,COM Phx NT Lab
85MK,ped_reprod,Pediatrics & Reproductive Fields,COM Phx NG Lab - Michael Kruer,COM Phx NG Lab
69KK,clinical,Clinical Areas,COM Phx Pulmonary - Ken Knox,COM Phx Pulmonary
69TW,clinical,Clinical Areas,COM Phx Pulmonary - Ting Wang,COM Phx Pulmonary
85TS,ped_reprod,Pediatrics & Reproductive Fields,COM-Phx Ped Infect Dis - Terrence Stull,COM-Phx Pediatric Infectious Disease
85DA,ped_reprod,Pediatrics & Reproductive Fields,COM-Phx IMM Lab - David Azorsa,COM-Phx IMM Lab
0721,oncology,Oncology,Cancer Center Division,AZ Health Sci Ctrs & Divisions
0723,med_health,Medicine & Health,Asthma/Airway Disease Rsch Ctr,AZ Health Sci Ctrs & Divisions
0753,med_health,Medicine & Health,Hispanic Center of Excellence,AZ Health Sci Ctrs & Divisions
0799,med_health,Medicine & Health,AZ Simulation Technology & Edu,AZ Health Sci Ctrs & Divisions
3310,public_health,Public Health,AZ Health Education Centers,AZ Health Sci Ctrs & Divisions
6802,med_health,Medicine & Health,UAHS Clin & Interprof Skills,AZ Health Sci Ctrs & Divisions
6807,med_health,Medicine & Health,UAHS Research,AZ Health Sci Ctrs & Divisions
6815,med_health,Medicine & Health,All of Us Research Program,AZ Health Sci Ctrs & Divisions
6820,neurology,Neurology,UAHS Brain Science,AZ Health Sci Ctrs & Divisions
9941,med_health,Medicine & Health,UAHS Banner Space,AZ Health Sci Ctrs & Divisions
ABCD,med_health,Medicine & Health,AZ Cntr for Biology of Complex Diseases,AZ Rsch Labs-Interdisciplinary
EMBI,neurology,Neurology,Evelyn F. McKnight Brain Institute,AZ Rsch Labs-Interdisciplinary
MCRO,med_health,Medicine & Health,Microcirculation,AZ Rsch Labs-Interdisciplinary
NSMA,neurology,Neurology,Neural Systems Memory and Aging,AZ Rsch Labs-Interdisciplinary
9908,med_health,Medicine & Health,Health Sciences Administration,Academic Affairs Division
HLGN,med_health,Medicine & Health,Az Health Sciences Division,Senior VP Health Affairs
HSCD,med_health,Medicine & Health,AZ Health Sci Ctrs & Divisions,Senior VP Health Affairs
MDPX,med_health,Medicine & Health,College of Medicine - Phoenix,Senior VP Health Affairs
MDTC,med_health,Medicine & Health,College of Medicine - Tucson,Senior VP Health Affairs
NRSG,nursing,Nursing,DEAN / COLLEGE OF NURSING,Senior VP Health Affairs
6801,med_health,Medicine & Health,Senior VP Health Sciences,Az Health Sciences Division
PBHL,public_health,Public Health,College of Public Health,Senior VP Health Affairs
PHRM,pharmacology,Pharmacology,College of Pharmacy,Senior VP Health Affairs
PT16,med_health,Medicine & Health,Phoenix Biomedical Campus,Parking and Transportation
CROC,oncology,Oncology,CROC Funded IITs,Cancer Center Clinical Trials Tucson
CTBL,oncology,Oncology,UACC TUC CTO BMT/Leukemia Team,Cancer Center Clinical Trials Tucson
CTBR,oncology,Oncology,UACC TUC CTO Breast Team,Cancer Center Clinical Trials Tucson
CTGI,oncology,Oncology,UACC TUC CTO Gastrointestinal Team,Cancer Center Clinical Trials Tucson
CTGU,oncology,Oncology,UACC TUC CTO Genitourinary Team,Cancer Center Clinical Trials Tucson
CTGY,oncology,Oncology,UACC TUC CTO Gynecology Team,Cancer Center Clinical Trials Tucson
CTHN,oncology,Oncology,UACC TUC CTO Head and Neck Team,Cancer Center Clinical Trials Tucson
CTLU,oncology,Oncology,UACC TUC CTO Lung Team,Cancer Center Clinical Trials Tucson
CTLY,oncology,Oncology,UACC TUC CTO Lymphoma Team,Cancer Center Clinical Trials Tucson
